siren,name,naf,headcount,siteWeb,creationDate,Country Code
948201041,CONSUL-T,71.12B,2,,2023-01-14,FR
948201371,SCHEMALPELEC,71.12B,1,,2023-01-11,FR
948203179,INN'PULSE,71.12B,1,,2023-01-01,FR
948203708,THE BENCH INCUBATEUR,70.22Z,1,,2023-01-03,FR
948205794,"RECRUTEMENT,FORMATION,CONSULTING ET INGENIERIE",85.59A,2,,2023-01-11,FR
948211560,MANTES SCHOOL OF BUSINESS,85.59A,11,,2023-01-16,FR
948215991,MISSIONS D'ACCOMPAGNEMENT CONSEIL TECHNIQUE,71.12B,1,,2023-01-03,FR
948219167,UNIVERS SOL,71.12B,1,,2023-02-01,FR
948221239,8.125,59.11B,1,,2023-01-02,FR
948222575,BAROMAN INDUSTRIES,46.37Z,1,,2023-01-12,FR
948224506,EVICOM,85.59A,1,,2023-01-11,FR
948225438,SGOPC,71.12B,1,,2023-01-19,FR
948226436,GTR FORMATION,85.59A,1,,2023-01-17,FR
948230974,VIATECHNICA,71.12B,1,,2023-01-17,FR
948238134,B3 VILLAGE  BY CA VIERZON,82.99Z,1,,2023-01-01,FR
948244801,SNATCH,85.59A,2,,2023-01-13,FR
948248307,AUDIT ET DIAG,71.12B,2,,2023-01-19,FR
948249073,ATELIER SENEMIA,14.13Z,1,,2023-01-14,FR
948251665,D.B,71.12B,1,,2023-01-17,FR
948252242,,,2,,2023-01-19,FR
948255484,PHEBUS ENERGIE,71.12B,1,,2023-01-12,FR
948258017,G2V,71.12B,12,,2023-01-18,FR
948259486,MB AUDIT,71.12B,1,,2023-01-17,FR
948262126,HYPRLABS,71.12B,2,,2023-01-18,FR
948263645,MAEQUEN CONSEILS,58.29C,1,,2023-01-13,FR
948264023,SASU IDEALIS,71.12B,1,,2023-01-02,FR
948266010,GREGOIRE DURIEZ EXPERT,71.12B,1,,2023-01-06,FR
948266044,PRUNE,62.01Z,1,,2023-01-23,FR
948267166,CETHYA,71.12B,1,,2023-02-01,FR
948267745,OFEN ENGINEERING,71.12B,2,,2023-01-07,FR
948277058,BLUE SMOKE,59.11B,1,,2023-01-19,FR
948278833,TECH,71.12B,1,,2023-01-19,FR
948285945,C2A INFRA,71.12B,1,,2023-01-12,FR
948287057,UPCOFREE PORTAGE,82.99Z,3,,2023-01-01,FR
948296983,OIM FRANCE,71.12B,2,,2023-01-19,FR
948297841,ILS'INVEST,82.99Z,1,,2023-01-12,FR
948309497,PDMG,82.99Z,1,,2023-01-17,FR
948318712,CERTIS SOFTWARE,58.29C,1,,2023-01-01,FR
948328133,YVES ANDRE CONSULT,71.12B,1,,2023-01-20,FR
948329016,SAJ CONSULTING,82.99Z,1,,2023-01-16,FR
948345038,F2M74,41.20A,2,,2023-01-16,FR
948356480,CHRISTOPHE CHUDY STUDIO,59.11B,1,,2023-01-18,FR
948358544,PETRA IKHOR,71.11Z,1,,2023-01-16,FR
948377635,MORGAN & MALLET SCHOOL,85.59A,1,,2023-01-04,FR
948395447,HYDROTECHNIA,71.12B,1,,2023-02-01,FR
948399167,ENNEMANE DEVELOPPEMENT,71.12B,1,,2023-01-19,FR
948406418,REZO PARCOURS LANGUES,85.59A,1,,2023-01-02,FR
948408554,AEXECO,71.12B,1,,2023-01-01,FR
948410477,ECOSTORM,71.12B,2,,2023-01-18,FR
948411475,JC-INGENIERIE BSE,71.12B,2,,2023-01-20,FR
948420963,APRILYOS,58.29C,1,,2023-01-23,FR
948421680,ARPAGE,71.12B,1,,2023-01-25,FR
948421755,NATIVE TECHNOLOGIES FRANCE,58.29C,11,,2023-01-24,FR
948422829,SEIMA FORMATION BTP,85.59A,1,,2023-01-17,FR
948426440,BD FLUIDES,71.12B,1,,2023-01-12,FR
948433065,VM SOLUTIONS,82.99Z,1,,2023-01-16,FR
948434402,ATELIER REALISATION RENOVATION,71.12B,1,,2023-02-01,FR
948435854,BK CONSULTING OUEST,71.12B,3,,2023-01-25,FR
948438783,SI'FER EXPERT,71.12B,1,,2023-01-26,FR
948447032,AUTOMATIKA ROBOTICS,71.12B,1,,2023-01-26,FR
948447321,MPS LAKE GENEVA,82.99Z,1,,2023-01-24,FR
948449665,LES PRODUCTIONS DU SALON,59.11B,1,,2023-01-25,FR
948449921,MAASC,85.59A,1,,2023-01-16,FR
948462072,MADECA,71.12B,12,,2023-01-23,FR
948463971,DRONEX16,71.12B,1,,2023-01-20,FR
948464599,FORMATION PROFESSIONNELLE 42,85.59A,1,,2023-02-01,FR
948465208,GCCC,82.99Z,1,,2023-01-01,FR
948465604,START FORMA,85.59A,1,,2023-01-26,FR
948472733,DG SERVICES,71.12B,2,,2023-01-19,FR
948472857,A2K PREMIUM CONSEILS,71.12B,1,,2023-01-27,FR
948494950,CENTRE DE FORMATION DE LA POINTE,85.59A,2,,2023-01-19,FR
948502166,E2S FORMATION PETITE ENFANCE,85.59A,2,,2023-01-26,FR
948512041,DNS INGENIERIE,71.12B,1,,2023-01-04,FR
948518097,HEA,85.59A,1,,2023-01-30,FR
948523998,DESTINATIONS OFF ROAD,93.29Z,1,,2023-01-25,FR
948524491,LC INDUSTRIES,71.12B,1,,2023-01-10,FR
948525902,ENOTEA,71.12B,1,,2023-01-01,FR
948527965,YONOMY LIEL,82.99Z,1,,2023-01-19,FR
948533831,XTIK,71.12B,1,,2023-01-30,FR
948551742,PRODUCTIONS SAINT SAUVEUR,59.11B,2,,2023-02-01,FR
948554837,SETUP RENOV,71.12B,2,,2023-01-31,FR
948562533,HAAL MEDIA SAS,59.11B,1,,2023-01-27,FR
948565759,REGEN SCHOOL,85.59A,2,,2023-01-26,FR
948567292,LE BASSIN BLEU CONSTRUCTION,71.12B,1,,2023-01-27,FR
948574173,COSMOPOLIS,90.01Z,12,,2023-01-18,FR
948588561,VUILLET BUREAU D'ETUDES,71.12B,1,,2023-02-20,FR
948589213,ENDGO,71.12B,1,,2023-01-09,FR
948590229,ITC4D,71.12B,1,,2023-01-26,FR
948598164,JEROME HOESSLER CONSEIL,85.59A,1,,2023-01-01,FR
948610555,PF INGENIERIE,71.12B,1,,2023-01-27,FR
948612239,REACT MOTION TECHNOLOGIES,58.29C,1,,2023-01-25,FR
948636246,LDR EXPERTISE ET FORMATION IMMO,85.59A,1,,2023-02-01,FR
948657804,MOON&CO,71.12B,1,,2023-02-01,FR
948668637,VERT EAULIVIER,71.12B,1,,2023-02-01,FR
948669015,CCOURNAULT,85.59A,1,,2023-02-01,FR
948676895,ATEO,71.12B,1,,2023-02-02,FR
948681309,SANANGA,71.12B,2,,2023-01-19,FR
948682745,ECOCONSULT,71.12B,1,,2023-01-01,FR
