Rank,Company Name,Entity Type,Fence,Source Count,Sources,Best Score,Confidence,Has Dock 3,Website,LinkedIn,Domain,City,Employees,Key Signal,Dock 3 Note
40,"DRONE 2I",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
41,"H2DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",4,"NAF_A:71.20B|generic_name|structured|emp:02|PME/micro",""
42,"AURA DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
43,"DRONE X SOLUTIONS",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
44,"BERINGER DIAG & DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.20B|generic_name|structured|emp:01|PME/micro",""
45,"CARTODRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
46,"DRONE TECH TOITURE",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
47,"THERMODRONESERVICES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
48,"INGENIERIE & DRONE SOLUTIONS",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
49,"TAHITI TECHNODRONE",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
50,"DRONEX16",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
51,"AGRODRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
52,"INTERNATIONAL DRONE SERVICES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
53,"DRONES EXPERTISES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
54,"DRONE SOLUTIONS INVEST",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
55,"FRANCE DRONE SERVICES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro",""
56,"DRONEDEV CONSULTING",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
57,"AGENIUM DRONES SOLUTIONS",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
58,"DRONE TECH",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
59,"INTERDRONES SERVICES",unknown,,1,"govt_registry",85,high,No,,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro",""
60,"FORMAT-DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",4,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro",""
61,"ENERGY DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
62,"SEMADRONES",unknown,,1,"govt_registry",85,high,No,,,,"",15,"NAF_A:71.12B|generic_name|structured|emp:11|PME/micro",""
63,"DRONE 06",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
64,"AIR SPACE DRONE",unknown,,1,"govt_registry",85,high,No,,,,"",4,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro",""
65,"DRONEXSOLUTION",unknown,,1,"govt_registry",85,high,No,,,,"",2,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro",""
66,"DRONE PLANET ECO ROBOTS",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
67,"BIO DRONES FRANCE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
68,"NAUTIDRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
69,"SOLODRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
70,"MKX DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
71,"MYDRONESOLUTION",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
72,"ELTADRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
73,"DRONEXPLORER",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
74,"VYNSKY DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
75,"CLEAN DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
76,"DRONE FORCE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
77,"MLV DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
78,"PHOENIX DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
79,"DRONETUDES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
80,"DEFIS-DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
81,"AIR DRONE SOLUTION",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
82,"DIAG DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
83,"APPLICATIONS DRONES ET GEOPHYSIQUES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
84,"ATA DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
85,"ATLANTIQUE EXPERTISES DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",4,"NAF_B:70.22Z|provider_kw|structured|emp:02|PME/micro",""
86,"SB DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
87,"DRONE ANALYSE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
88,"SPA3DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
89,"ACCESS DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
90,"DRONE GROUPE AFRIQUE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
91,"ITP DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
92,"ALTUS DRONES SERVICES",unknown,,1,"govt_registry",80,high,No,,,,"",2,"NAF_B:62.01Z|provider_kw|structured|emp:01|PME/micro",""
93,"ALIZEA DRONE SAS",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
94,"F.P.A.S DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:80.10Z|generic_name|structured|PME/micro",""
95,"INSPECT'DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
96,"EB DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
97,"AIRSUB DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
98,"ACCES-DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
99,"DRONE ENGINEERING",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
100,"VP DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
101,"MECADRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
102,"PRESTADRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
103,"FACILI TRAVAUX & DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
104,"DRONE-DATA-LAB",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
105,"ADRONE +",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
106,"GENIUS DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
107,"FG DRONES ETUDES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
108,"DRONES ICARE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
109,"DRONE FRANCAIS",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
110,"JGM DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
111,"DRONE XPRESS",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:80.10Z|generic_name|structured|PME/micro",""
112,"HYDRONET 360",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
113,"VISION DRONES BOURGOGNE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
114,"F2 DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
115,"AQUA AIR DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
116,"TOPODRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
117,"XENODRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
118,"DRONE & EAU PICARDIE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
119,"DRONEXPLORE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
120,"AZIMUT-DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
121,"ECORES DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
122,"GEO DRONE XPERT",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
123,"DRONES DOCKING STATIONS",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
124,"DRONE FLY INSPECT",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
125,"AKP-DRONES",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
126,"DRONE INVESTIGATION",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
127,"ASESDRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
128,"DRONE-CAPTURE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
129,"ONITDRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro",""
130,"SCAN TO DRONE",unknown,,1,"govt_registry",80,high,No,,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro",""
131,"LYNXDRONE",unknown,,1,"govt_registry",75,high,No,,,,"",15,"NAF_B:74.90B|generic_name|structured|emp:11|PME/micro",""
132,"DRONE XTR",unknown,,1,"govt_registry",75,high,No,,,,"",4,"NAF_B:74.90B|generic_name|structured|emp:02|PME/micro",""
133,"SPACEDRONE",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:30.30Z|generic_name|structured|emp:01|PME/micro",""
134,"DRONELIS",unknown,,1,"govt_registry",75,high,No,,,,"",15,"NAF_B:70.22Z|generic_name|structured|emp:11|PME/micro",""
135,"DRONE REPONSE SECURITE",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_other:80.20Z|dock_kw|structured|PME/micro",""
136,"LTN DRONE EXPERTISE",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
137,"DSC (DRONE SECURITY CONSULTING)",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
138,"OBJECTIF DRONE PRODUCTION",unknown,,1,"govt_registry",75,high,No,,,,"",4,"NAF_B:30.30Z|generic_name|structured|emp:02|PME/micro",""
139,"SARL DRONE VISUAL INSPECTION",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_other:33.16Z|dock_kw|structured|PME/micro",""
140,"DRONE AQUITAINE",unknown,,1,"govt_registry",75,high,No,,,,"",4,"NAF_B:74.90B|generic_name|structured|emp:02|PME/micro",""
141,"DRONES CENTER INNOVATIONS",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
142,"TA TECHDRONE",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
143,"DRONES EXPERTS SERVICES",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:30.30Z|provider_kw|structured|PME/micro",""
144,"RHUYS EXPERTISE DRONE",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
145,"WOLF DRONE SOLUTIONS",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:30.30Z|provider_kw|structured|PME/micro",""
146,"DRONESTAR",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:74.90B|generic_name|structured|emp:01|PME/micro",""
147,"DRONE AIR FLY",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:74.90B|generic_name|structured|emp:01|PME/micro",""
148,"IVA DRONES",unknown,,1,"govt_registry",75,high,No,,,,"",4,"NAF_B:63.11Z|generic_name|structured|emp:02|PME/micro",""
149,"DRONESCAPE",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:62.01Z|generic_name|structured|emp:01|PME/micro",""
150,"HEXADRONE",unknown,,1,"govt_registry",75,high,No,,,,"",15,"NAF_B:30.30Z|generic_name|structured|emp:11|PME/micro",""
151,"DRONE VOLT",unknown,,1,"govt_registry",75,high,No,,,,"",35,"NAF_B:30.30Z|generic_name|structured|emp:12|PME/micro",""
152,"WEBDRONE",unknown,,1,"govt_registry",75,high,No,,,,"",15,"NAF_B:62.01Z|generic_name|structured|emp:11|PME/micro",""
153,"UAV INNOVATION CONSULTING",unknown,,1,"govt_registry",75,high,No,,,,"",,"NAF_B:74.90B|provider_kw|structured|PME/micro",""
154,"DRONES IMAGING",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:74.90B|generic_name|structured|emp:01|PME/micro",""
155,"INNOVADRONE",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:30.30Z|generic_name|structured|emp:01|PME/micro",""
156,"POLIDRONE",unknown,,1,"govt_registry",75,high,No,,,,"",2,"NAF_B:63.11Z|generic_name|structured|emp:01|PME/micro",""
157,"Dronenerds",unknown,,1,"google_search",60,medium,No,https://enterprise.dronenerds.com/,,dronenerds.com,"",,"dji dock",""
158,"Hpdrones",unknown,,1,"google_search",60,medium,No,https://hp-drones.com/,,hp-drones.com,"",,"dji dock",""
159,"DRONE 360",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|structured|PME/micro",""
160,"START DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:70.22Z|generic_name|structured|PME/micro",""
161,"URBANDRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:62.01Z|generic_name|structured|PME/micro",""
162,"SYNAIRGIDRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
163,"RIVERDRONE, AQUATIC DRONE TECHNOLOGY",unknown,,1,"govt_registry",70,medium,No,,,,"",2,"NAF_other:30.11Z|provider_kw|structured|emp:01|PME/micro",""
164,"CYBERDRONEGUARDING",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
165,"NEO DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
166,"DRONE REPONSE TACTIC",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
167,"HELIDRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
168,"DELTA DRONE MANAGERS",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:70.22Z|generic_name|structured|PME/micro",""
169,"CLIMAT DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_A:71.12B|generic_name|PME/micro",""
170,"ATLANTIC DRONES",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|structured|PME/micro",""
171,"DRONE SYSTEME",unknown,,1,"govt_registry",70,medium,No,,,,"",2,"NAF_other:31.09B|provider_kw|structured|emp:01|PME/micro",""
172,"SOCIETE FRANCAISE DU DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
173,"CM DRONES",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|structured|PME/micro",""
174,"DKDRONES",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|structured|PME/micro",""
175,"LR DRONES ET CONSEILS",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:70.22Z|generic_name|structured|PME/micro",""
176,"DRONEDATA",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
177,"DRONES PLURIEL",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
178,"DRONE SURVEY",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:63.11Z|generic_name|structured|PME/micro",""
179,"CAPTAGRI-DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
180,"PARIS DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
181,"AEP DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:30.30Z|generic_name|structured|PME/micro",""
182,"DRONEANDVIEW",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:62.01Z|generic_name|structured|PME/micro",""
183,"PERFECT NEGOCE - DRONE AEROTECH",unknown,,1,"govt_registry",70,medium,No,,,,"",2,"NAF_other:46.63Z|provider_kw|structured|emp:01|PME/micro",""
184,"VISI'EAU & AIR DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:74.90B|generic_name|structured|PME/micro",""
185,"MAGIC DRONE",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:62.01Z|generic_name|structured|PME/micro",""
186,"QUADRONE CONSEIL",unknown,,1,"govt_registry",70,medium,No,,,,"",,"NAF_B:70.22Z|generic_name|structured|PME/micro",""
