id,name,normalized_name,region,type,website,country,notes,last_synced_at,created_at,linkedin
82521da0-bf82-4957-a415-2d1ae7ac4d6f,Fusion Integration Solutions,fusion integration,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
3dd2a66e-db88-4ad7-ac6e-0d1a8d295e59,FEDS,feds,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 14:48:38.25614+00,null
0c1f3564-a508-4482-9e6f-65b6a5e0134d,Gulfnet,gulfnet,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
afdcd7d7-786f-489a-8631-1a0488891a41,Kokba,kokba,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
c86f9229-8e97-4cce-be26-48ef3e038b91,Wisemate,wisemate,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
9cec7ff1-0345-4a13-b81c-dd5274ea67d2,Nesma,nesma,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
b86117ba-f2ae-4f86-a8b1-55be9ca0404f,ITSQ,itsq,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
2e8d0aed-64a2-4cdd-abe0-78c7b7852cb0,NineTenths,ninetenths,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
91ff79c4-72a4-4efd-a3ff-54a6c343f03f,Fusion Integrated Solutions,fusion integrated,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
07fe3547-9176-4d9a-9e30-964912cfa078,AISC,aisc,Middle East,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
db8da91e-13a4-4d7a-b956-a3d755d84d67,Traf Signal Panama,traf signal panama,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 14:48:38.25614+00,null
0d8150d3-dfb7-4d2a-a4d1-25a2cbea2750,ICQ Tech,icq tech,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
045efdcb-8611-4356-b8ec-2cc9d678a737,UAV Latam,uav latam,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
22fa25eb-0a4e-4710-a8b5-7c7db8536f54,Martin Fablet,martin fablet,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
fb35afc9-f1fe-489f-a75a-232af2b713e5,Walross Tech,walross tech,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
86cbc60a-b0fb-4b19-b291-b2863599d110,DroneStore Chile,dronestore chile,LATAM,partner,null,null,null,2026-03-18 15:35:34.928+00,2026-03-18 15:35:35.345568+00,null
