id,keywords,sources,regions,filter_days,min_score,max_articles,status,articles_fetched,articles_stored,dedup_removed,created_at,completed_at,campaign
run_202603171815011,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,84,8,76,2026-03-17 18:15:04.53+00,2026-03-17 18:15:04.53+00,dsp_6mo_sweep
run_202603171815124,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,64,9,55,2026-03-17 18:15:15.844+00,2026-03-17 18:15:15.844+00,dsp_6mo_sweep
run_202603171815475,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,67,10,57,2026-03-17 18:15:51.017+00,2026-03-17 18:15:51.017+00,dsp_6mo_sweep
run_202603171816203,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,152,11,141,2026-03-17 18:16:23.615+00,2026-03-17 18:16:23.615+00,dsp_6mo_sweep
run_202603171816506,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,152,11,141,2026-03-17 18:16:53.833+00,2026-03-17 18:16:53.833+00,dsp_6mo_sweep
run_202603171819263,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,168,13,155,2026-03-17 18:19:29.736+00,2026-03-17 18:19:29.736+00,dsp_6mo_sweep
run_202603171820317,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,168,13,155,2026-03-17 18:20:35.273+00,2026-03-17 18:20:35.273+00,dsp_6mo_sweep
run_202603171821305,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,192,14,178,2026-03-17 18:21:33.519+00,2026-03-17 18:21:33.519+00,dsp_6mo_sweep
run_202603171822087,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,192,14,178,2026-03-17 18:22:12.239+00,2026-03-17 18:22:12.239+00,dsp_6mo_sweep
run_202603171822235,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,152,15,137,2026-03-17 18:22:27.087+00,2026-03-17 18:22:27.087+00,dsp_6mo_sweep
run_202603171826227,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,152,16,136,2026-03-17 18:26:26.925+00,2026-03-17 18:26:26.925+00,dsp_6mo_sweep
run_202603171906507,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:06:50.745+00,2026-03-17 19:06:50.745+00,null
