Company Name,Responsible Person
Nicholas Lototsky,Nicholas Lototsky
Cannon Beach Police Department,Joseph Bowman
Hennepin Healthcare EMS,Tyler Lupkes
Nevada County Sheriff,Dustin Moe
Teays Valley Fire Department,Joseph Puterbaugh
Cass County Emergency Management Agency,Rocky Buffum
Old Lycoming Volunteer Fire Company,Joseph Hope
City of Sartell Public Safety Division,John Lester
Somerset County Sheriff Office,Lemuel White
City of New Bern Aviation Unit,Aaron Williams
Skyland Fire and Rescue,Zach Cicillian
Matt Kleinhans,Matt Kleinhans
Percepto Robotics Inc.,Raviv Raz
Rainmaker Technology Corporation,Sam Kim
Percepto Robotics Inc.,Raviv Raz
Moss Photography,Victor Moss
Northrop Grumman Systems Corporation,Justin Springer
Jeremy Wallace,Jeremy Wallace
Eric Nicolaysen,Eric Nicolaysen
BHE Renewables LLC,Caleb Kiser
Abram Huey,Abram Huey
Xcel Energy,Zachary Roach
James Bond,James Bond
Bryan Tenhet,Bryan Tenhet
Ethan Dorer,Ethan Dorer
Open Sky Productions LLC,Evan Petrie
Baldwin County Sheriff's Office,Jerome Roberts
Blue Vigil,Carl Miller
Govinda Rangan,Govinda Rangan
"Causey Aviation Unmanned, Inc.",Jeffrey Causey
Eyeintheskyllcdroneservices,Sean Snead
Kenneth Jones,Kenneth Jones
Loren Fleisher,Loren Fleisher
Starkville Police Department,Robert Eguires
Stephen Johnson,Stephen Johnson
"Airborne Studios, LLC.",Edward Graham
Joshua Condict,Joshua Condict
Kyle Seppanen,Kyle Seppanen
Robert Eguires,Robert Eguires
Wesley Siegrist,Wesley Siegrist
El Paso County Search and Rescue UAS,Patrick Kerscher
Glide Aerials LLC,Trevor Bryson
Fernando Muzquiz,Fernando Muzquiz
Zipline International Inc.,Michael Rigby
Zipline International Inc.,Michael Rigby
Layton Construction,Austin Lay
Big Sky Fireworks,Ric Almendinger
Angela Stanley,Angela Stanley
Cameron Seaman,Cameron Seaman
BGE UAS,Andrew McCauley
"TraceAir Technologies, LLC",Joel Sherman
Skyfire AI,Bruce Hudson
Denver Water,Ian Oliver
William Moskowitz,William Moskowitz
Evan Manly,Evan Manly
Skyworx Drone Shows,Taylor Woodall
Trevor Valle,Trevor Valle
Surveying Solutions Inc,Timothy McGuire
Cody Clark,Cody Clark
Chad Kettlewell,Chad Kettlewell
BrightWave FX LLC,Aaron Williams
Visual Advantage of Virginia LLC,John Hancock
Mark Kempton,Mark Kempton
Leidos-Dynetics,Tyler Jackson
Bruno Rivera,Bruno Rivera
Tim McGee,Tim McGee
Island Conservation,Austin Hall
"Skymagic US, Inc.",James Blanchard
Beverly Hills Aerials,Michael Izquierdo
TVC Drone Shows LLC,Marc Gersh
"JV Farms, Inc.",Trevor Adams
Kent Moyer,Kent Moyer
Rafael Rivera Garcia,Rafael Rivera Garcia
John Garberson,John Garberson
LuluPepper Media LLC,Randall Langton
Ski Slingsby,Ski Slingsby
Avista Utilities,Nick Lasko
Eli Espinoza Goodman,Eli Espinoza Goodman
Zachary Urioste,Zachary Urioste
Cyberhawk Inc,Scott Lashmit
North Port Police Department,Mike Laden
American Fireworks Company,Roberto Sorgi
Monument Fire,Franz Hankins
"[Amazon.com Services, LLC's](Amazon)",Christopher Morrow
Columbus County Emergency Services UAS Program,Jonathan Juhl
Eugene Police Department,Kyle Williams
Middlesex County Prosecutor's Office,Nicholas Chiorello
Lewisville Vol Fire Department,David Kivett
Dixon Police Department,Mick Geisser
Clinton PD,Joseph Lefebvre
Valley Fire & Rescue,Zachary Adkins
Town of Perinton,John Overacker
Worthington Division of Police,Jeffrey Kubasek
City of Lexington,Tyler Redd
Lauren Hartman,Lauren Hartman
BLiS LLC,Michael Trahan
Matt Dill,Matt Dill
QuadSAT,Tobias Lundby
Gary Richard Williams,Gary Williams
Leidos-Dynetics,Tyler Jackson
LM RMS Owego,Mark Urso
"ONEOK, Inc.",Jim Arrowood
"AG3 Labs, Inc.",Gavin Gardner
Talon Aerolytics,Ryan Robb Joseph
Kraus Hamdani Aerospace Inc,Tim Wells
Avol Inc.,Matthew Sargeant
Danny Wilkey,Danny Wilkey
Grosse Pointe Farms DPS,Michael Ryan
Montgomery County Sheriff's Office,Shelby Curtis
New York State Canal Corporation,Matthew Lengel
John Tremba,John Tremba
Giddings Police Department,William Weems
Laurel Mountain K9 Search and Rescue,Joseph Rhinier
Solano County Sheriff’s Office,Jackson Harris
Jon Rauch,Jon Rauch
Nico Sarafian,Nico Sarafian
FOS Drones LLC,Matt Kalscheuer
"Top Flavor Farms, Inc.",Cesar Avila
Philip Young,Philip Young
Pixis Drones LLC,Brad Nierenberg
Southern California Edison,Robert Ford
James Michael,James Richard
Brandon Karr (DroneSense),Brandon Karr
Falcon Unmanned Systems,Eric Ebert
Christopher Wenner,Christopher Wenner
Jacob Lewis,Jacob Lewis
Flogistix,David Martinez
Ralph Bruce,Ralph Bruce
Jeremiah Wooten,Jeremiah Wooten
Echodyne,Leo Del Castillo
Marathon Petroleum Co,Brandon DuMontier
Adam Fyrer,Adam Fyrer
Anduril Industries,Brad Burnett
Red Bay Police Department,Janna Jackson
Iowa County Emergency Management,Josh Humphrey
Ascending Embers LLC,Jarrett O'Neal
"AT&T Services, Inc.",Arthur Hernandez
Morgan Mill Volunteer Fire Department,Aaron Jones
Americus Police Department,Joshua Greene
Whitestown Metropolitan Police Department,Christopher Fischer
Kraus Hamdani Aerospace Inc,Tim Wells
EDKO LLC,Justin Anderson
Pilot Institute,Jason Wood
SKY LITES LLC,Kyle Gardner
ROAR Over Texas Inc,Oscar Lopez
Northwest PA Aerial Services,Joshua Haney
Lonnie NaVeau,Lonnie NaVeau
Michael Sherman,Michael Sherman
Southern California Edison,Robert John Ford
"SB Flight Training, LLC",Devon Edwards
