rank,score,siren,company_name,trade_name,acronym,naf_code,employee_band,company_category,founded_date,city,signals,website_to_enrich,linkedin_to_enrich
62,80,830257366,ELTADRONE,,,71.12B,NN,PME,2017-06-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
63,80,832050827,ACCESS DRONES,,,71.12B,NN,PME,2017-09-07,,NAF_A:71.12B|generic_name|structured|PME/micro,,
64,80,832316491,DRONE GROUPE AFRIQUE,,,71.12B,NN,PME,2017-09-26,,NAF_A:71.12B|generic_name|structured|PME/micro,,
65,80,839169844,ITP DRONE,,,71.12B,NN,PME,2018-04-19,,NAF_A:71.12B|generic_name|structured|PME/micro,,
66,80,839462074,ALTUS DRONES SERVICES,,ADS,62.01Z,01,PME,2018-06-01,,NAF_B:62.01Z|provider_kw|structured|emp:01|PME/micro,,
67,80,844227249,ALIZEA DRONE SAS,,,71.12B,NN,PME,2018-09-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
68,80,844454751,F.P.A.S DRONES,,,80.10Z,NN,PME,2018-11-12,,NAF_A:80.10Z|generic_name|structured|PME/micro,,
69,80,849736319,INSPECT'DRONE,,,71.20B,NN,PME,2019-03-22,,NAF_A:71.20B|generic_name|structured|PME/micro,,
70,80,851126326,EB DRONE,,,71.12B,NN,PME,2019-06-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
71,80,852027507,AIRSUB DRONE,,,71.20B,NN,PME,2019-06-25,,NAF_A:71.20B|generic_name|structured|PME/micro,,
72,80,881885461,ACCES-DRONE,,,71.20B,NN,PME,2020-02-14,,NAF_A:71.20B|generic_name|structured|PME/micro,,
73,80,883537649,DRONE ENGINEERING,,,71.12B,NN,PME,2020-05-15,,NAF_A:71.12B|generic_name|structured|PME/micro,,
74,80,884520552,VP DRONES,,,71.12B,NN,PME,2020-06-03,,NAF_A:71.12B|generic_name|structured|PME/micro,,
75,80,888202413,MECADRONE,,,71.12B,NN,PME,2020-08-14,,NAF_A:71.12B|generic_name|structured|PME/micro,,
76,80,891602302,PRESTADRONES,,,71.20B,NN,PME,2020-11-19,,NAF_A:71.20B|generic_name|structured|PME/micro,,
77,80,893501957,MYDRONESOLUTION,,MDS,71.20B,NN,PME,2021-01-20,,NAF_A:71.20B|generic_name|structured|PME/micro,,
78,80,898126461,FACILI TRAVAUX & DRONE,,,71.12B,NN,PME,2021-04-05,,NAF_A:71.12B|generic_name|structured|PME/micro,,
79,80,909070252,DRONE-DATA-LAB,,,71.12B,NN,PME,2022-01-03,,NAF_A:71.12B|generic_name|structured|PME/micro,,
80,80,910733690,ADRONE +,,,71.20B,NN,PME,2022-01-13,,NAF_A:71.20B|generic_name|structured|PME/micro,,
81,80,912115367,GENIUS DRONE,,,71.20B,NN,PME,2022-03-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
82,80,913487682,FG DRONES ETUDES,,,71.12B,NN,PME,2022-05-12,,NAF_A:71.12B|generic_name|structured|PME/micro,,
83,80,921145934,DRONES ICARE,,,71.20B,NN,PME,2022-11-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
84,80,930702246,DRONE FRANCAIS,,,71.12B,NN,,2024-07-02,,NAF_A:71.12B|generic_name|structured|PME/micro,,
