siren,company_name,trade_name,acronym,naf_code,legal_form_code,employee_band,has_employees,company_category,created_date,composite_score,rank,region,signal_source,filter_version,extracted_at,notes
808556864,DRONE AIR FLY,,,74.90B,5710,01,False,PME,2014-12-05,23,64,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
384971503,FRANCE CHAUDRONERIE SOLUTIONS,,SNCT PUBLICATIONS,85.59B,9220,03,False,PME,1991-02-25,23,65,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
503579765,JUAV,,,47.71Z,5499,03,False,PME,2008-04-30,23,66,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
911417392,DRONEDELATTREEXPERTISE,,,71.12B,5710,01,False,PME,2022-03-16,23,67,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
820950566,SPA3DRONE,,,71.12B,5499,NN,False,PME,2016-06-15,23,68,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
505369447,CLEAN DRONE,ADEQUAT DIAGNOSTIC,,71.12B,5499,NN,False,PME,2008-08-01,23,69,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
811187319,AIR DRONE SOLUTION,,,71.12B,5499,NN,False,PME,2015-05-02,23,70,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
830257366,ELTADRONE,,,71.12B,5499,NN,False,PME,2017-06-01,23,71,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
832316491,DRONE GROUPE AFRIQUE,,,71.12B,5499,NN,False,PME,2017-09-26,23,72,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
849736319,INSPECT'DRONE,,,71.20B,5499,NN,False,PME,2019-03-22,23,73,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
794699967,DRONE FORCE,,,71.12B,5499,NN,False,PME,2013-08-12,23,74,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
821792629,PRODRONES,,,30.30Z,5499,03,False,PME,2016-08-01,23,75,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
451969414,LEONELLO ACQUAVIVA,LEONELLO ACQUAVIVA SARL,,71.12B,5499,NN,False,PME,2004-02-04,23,76,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
803079086,DRONETUDES,,,71.12B,5499,NN,False,PME,2014-06-24,23,77,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
798129086,DRONES IMAGING,,,74.90B,5710,01,False,PME,2013-11-01,23,78,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
839169844,ITP DRONE,,,71.12B,5499,NN,False,PME,2018-04-19,23,79,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
814386348,ATELIERS AUAV,,,71.11Z,5499,03,False,PME,2015-10-15,23,80,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
497987545,AQUAVIVE,AQUAVIVE,,71.12B,5499,NN,False,PME,2007-05-14,23,81,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
951515907,INTERNATIONAL DRONE SERVICES,,,71.12B,5710,NN,False,PME,2023-05-01,22,82,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
804836039,DRONESTAR,,DS,74.90B,5499,01,False,PME,2014-10-01,22,83,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
890549702,DRONE 2I,,,71.12B,5499,01,False,PME,2020-12-01,22,84,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
909070252,DRONE-DATA-LAB,,,71.12B,5710,NN,False,PME,2022-01-03,21,85,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844502799,SAM DRONES,,,81.22Z,5710,02,False,PME,2018-12-11,21,86,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
819029356,APPLICADRONE,,,74.20Z,5710,02,False,PME,2016-03-15,21,87,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
819008871,VERDRONE,,,58.29C,5710,02,False,PME,2016-03-04,21,88,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
847878618,DMDRONE METROPOLE,,,74.20Z,5710,02,False,PME,2019-01-17,21,89,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844454751,F.P.A.S DRONES,,,80.10Z,5710,NN,False,PME,2018-11-12,21,90,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
888202413,MECADRONE,,,71.12B,5710,NN,False,PME,2020-08-14,21,91,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
883537649,DRONE ENGINEERING,,,71.12B,5710,NN,False,PME,2020-05-15,21,92,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
898126461,FACILI TRAVAUX & DRONE,,,71.12B,5710,NN,False,PME,2021-04-05,21,93,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
928028075,DRONES SOLUTIONS - INSPECTION MESURE MODELISATION INDUSTRIELLE,,DRONES-SOLUTIONS,71.20B,5710,NN,False,,2024-04-22,21,94,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
808697080,CESA DRONES,,,72.19Z,5710,NN,False,PME,2014-12-30,21,95,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
912115367,GENIUS DRONE,,,71.20B,5710,NN,False,PME,2022-03-01,21,96,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
801598582,DRONESCAPE,,,62.01Z,5710,01,False,PME,2014-03-18,21,97,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
420119331,SARL AQUA TECHNIQUE PRODUCTION,AQUAVIE,,22.29B,5499,01,False,PME,1998-08-24,21,98,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
893922179,DRONES TECHNIQUES ET SERVICES,,DTS,74.20Z,5710,NN,False,PME,2021-02-05,21,99,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
893501957,MYDRONESOLUTION,,MDS,71.20B,5710,NN,False,PME,2021-01-20,21,100,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
884520552,VP DRONES,,,71.12B,5710,NN,False,PME,2020-06-03,21,101,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
802799122,DRONES-CENTER,,,85.59B,5710,02,False,PME,2014-05-26,21,102,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
802594887,TELEPILOTE,,TVPILOTE,85.59A,5710,02,False,PME,2014-05-26,21,103,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
799051099,POLIDRONE,,,63.11Z,5710,01,False,PME,2013-12-04,21,104,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
830469151,CYBERDRONEGUARDING,,,74.90B,5710,NN,False,PME,2017-06-06,21,105,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
792843054,CLIMAT DRONE,,,71.12B,9220,NN,False,PME,2013-05-01,21,106,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
814088712,EVODRONE,,,72.19Z,5710,NN,False,PME,2015-10-12,21,107,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
821697422,SYNAIRGIDRONE,,,74.90B,5710,NN,False,PME,2016-07-25,21,108,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844725630,DRONEDATA,,,74.90B,5710,NN,False,PME,2019-01-03,21,109,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
842761777,NEW-R-DRONE,,,72.19Z,5710,NN,False,PME,2018-09-20,21,110,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
881885461,ACCES-DRONE,,,71.20B,5499,NN,False,PME,2020-02-14,20,111,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
819496431,DRONE MULTI SERVICES,,,59.11B,5710,NN,False,PME,2016-04-30,20,112,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
800404428,CENTRE DE FORMATION ET D'APPRENTISSAGE DU DRONE,,CFAD,85.59A,5499,02,False,PME,2014-02-01,20,113,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
825189541,DRONE TECHNI SERVICE,,DTS,74.20Z,5710,01,False,PME,2017-01-20,20,114,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
852027507,AIRSUB DRONE,,,71.20B,5499,NN,False,PME,2019-06-25,20,115,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
499800704,SINEQUAVERT,SINEQUAVERT,,81.30Z,5499,02,False,PME,2007-09-15,20,116,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
819254442,CLEAN DRONE,,,43.91B,5499,02,False,PME,2016-04-01,20,117,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
887918845,INNOTECH-DRONE,,,46.69B,5710,02,False,PME,2020-08-06,20,118,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
428797450,VIRTUAVIA,,,62.01Z,5499,01,False,PME,2000-01-03,20,119,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
419758206,SAN PEDRONE,,,47.52A,5499,02,False,PME,1998-08-01,20,120,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
807486642,DRONE SYSTEME,,,31.09B,5710,01,False,PME,2014-11-01,20,121,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
808864441,SOCIETE FRANCAISE DU DRONE,,SFD,74.90B,5499,NN,False,PME,2014-12-19,20,122,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
838380525,FL DRONE SERVICE,,,71.12A,5499,NN,False,PME,2018-04-02,20,123,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
519024459,HELIDRONE,,,74.90B,5499,NN,False,PME,2009-12-01,20,124,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
948463971,DRONEX16,,,71.12B,5710,01,False,PME,2023-01-20,20,125,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
851126326,EB DRONE,,,71.12B,5410,NN,False,PME,2019-06-01,20,126,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
848862264,MINUTEDRONE,,,85.59B,5499,02,False,PME,2019-02-06,20,127,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
914686290,AURA DRONE,,,71.12B,5710,01,False,PME,2022-06-18,20,128,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
818302986,SELARL PLOUAVET,,,75.00Z,5485,02,False,PME,2016-02-08,20,129,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
817637267,ATLANTIQUE EXPERTISES DRONES,,,70.22Z,5499,02,False,PME,2016-01-02,20,130,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
489880062,GUAVA TECHONOLOGIES,,,72.19Z,3220,NN,False,PME,2006-01-03,20,131,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
